Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 517000  Y 507600
X 517800  Y 502800
X 524800  Y 518400
X 541200  Y 517600
X 544800  Y 507200
X 544800  Y 517600
X 552200  Y 524600
X 556800  Y 512400
X 558800  Y 523800
X 566800  Y 507200
X 568800  Y 509800
X 569400  Y 504000
X 572600  Y 507200
X 572600  Y 504000
X 580400  Y 527200
X 583200  Y 527400
X 587600  Y 506400
X 590600  Y 527000
X 591800  Y 511200
X 591800  Y 508000
X 593800  Y 527000
X 595800  Y 508200
X 595800  Y 511400
X 597200  Y 527200
X 600400  Y 527200
X 605000  Y 505400
X 613800  Y 505400
X 622600  Y 505400
X 631000  Y 505400
X 634600  Y 507000
X 634600  Y 510200
X 637800  Y 510200
X 637800  Y 507000
X 663400  Y 505000
X 663800  Y 511000
X 663800  Y 507800
X 666600  Y 505000
X 667000  Y 507800
X 667000  Y 511000
X 669800  Y 505000
X 670200  Y 511000
X 670200  Y 507800
X 690400  Y 512800
X 690400  Y 519200
X 690400  Y 516000
X 693600  Y 512800
X 693600  Y 519200
X 693600  Y 516000
X 696800  Y 512800
X 696800  Y 516000
X 696800  Y 519200
X 707200  Y 504800
X 707200  Y 511200
X 707200  Y 508000
X 710400  Y 511200
X 710400  Y 508000
X 710400  Y 504800
X 713600  Y 511200
X 713600  Y 504800
X 713600  Y 508000
X 716800  Y 521400
X 716800  Y 524600
X 720000  Y 524600
X 720000  Y 521400
X 723200  Y 524600
X 723200  Y 521400
X 723200  Y 527800
X 723000  Y 540600
X 723000  Y 543800
X 723000  Y 537400
X 720000  Y 527800
X 719800  Y 543800
X 719800  Y 540600
X 719800  Y 537400
X 716800  Y 527800
X 716600  Y 537400
X 716600  Y 543800
X 716600  Y 540600
X 699200  Y 535200
X 699200  Y 538400
X 699200  Y 532000
X 696000  Y 538400
X 696000  Y 535200
X 696000  Y 532000
X 692800  Y 535200
X 692800  Y 538400
X 692800  Y 532000
X 677000  Y 540200
X 661800  Y 540200
X 657200  Y 539000
X 653800  Y 539000
